STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,Glow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,XR Collaboration,"Virtual attachment cues (Glow and Radial) performed best in terms of accuracy, ease of use, and preference, especially for single collaborators. The Radial cue had the highest accuracy in most conditions but increased mental load when used with multiple collaborators. The WIM visualization resulted in the highest head movement and lowest accuracy but was positively received qualitatively.","Task Duration, Head Movement, Head Rotation, Angle Error, Mannequin Positioning Error, Mental Effort Scores, and Preference Rankings","Glow: High accuracy, worked well for visible collaborators but less effective in occlusion.",20,,,
,,Radial,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,XR Collaboration,"Virtual attachment cues (Glow and Radial) performed best in terms of accuracy, ease of use, and preference, especially for single collaborators. The Radial cue had the highest accuracy in most conditions but increased mental load when used with multiple collaborators. The WIM visualization resulted in the highest head movement and lowest accuracy but was positively received qualitatively.","Task Duration, Head Movement, Head Rotation, Angle Error, Mannequin Positioning Error, Mental Effort Scores, and Preference Rankings",Radial: Most accurate but added mental load in multi-user scenarios.,20,,,
,,World in Miniature,,Visual,,,Characterized,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,XR Collaboration,"Virtual attachment cues (Glow and Radial) performed best in terms of accuracy, ease of use, and preference, especially for single collaborators. The Radial cue had the highest accuracy in most conditions but increased mental load when used with multiple collaborators. The WIM visualization resulted in the highest head movement and lowest accuracy but was positively received qualitatively.","Task Duration, Head Movement, Head Rotation, Angle Error, Mannequin Positioning Error, Mental Effort Scores, and Preference Rankings",WIM: Least accurate but provided a novel overview perspective.,20,,,
30 - Jalynn,Designing for Depth Perceptions in Augmented Reality,,https://doi.org/10.1109/ISMAR.2017.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 - Jalynn,At-home training with closed-loop augmented-reality cueing device for improving gait in patients with Parkinson disease,Visual checkerboard,https://doi.org/10.1682/JRRD.2009.10.0165,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,,,,Movement,Go,,Single,Integrated,Parkinson's Disease,"""After training, device use enhanced walking velocity (61.6 ± 20.1 cm/s to 72.6 ± 26.5 cm/s, p = 0.006) and stride length (74.3 ± 16.4 cm to 84.0 ± 18.5 cm, p = 0.004). ""","""We measured gait velocity, stride length, and cadence using a validated electronic gait-analysis system.""","""Although issues related to compliance and response variability render a definitive interpretation of study outcome difficult, devices using closed-loop sensory feedback appear to be effective and desirable nonpharmacologic interventions to improve walking in selected individuals with PD.""",13,,,
,,Audio of steps,,Auditory,,,Captured,,,,,Proprioceptive - Egocentric,,,Persistent,,,,,Movement,Go,,Single,Subtle,Parkinson's Disease,"""After training, device use enhanced walking velocity (61.6 ± 20.1 cm/s to 72.6 ± 26.5 cm/s, p = 0.006) and stride length (74.3 ± 16.4 cm to 84.0 ± 18.5 cm, p = 0.004). ""","""We measured gait velocity, stride length, and cadence using a validated electronic gait-analysis system.""","""Although issues related to compliance and response variability render a definitive interpretation of study outcome difficult, devices using closed-loop sensory feedback appear to be effective and desirable nonpharmacologic interventions to improve walking in selected individuals with PD.""",13,,,
32 - Jalynn,Evaluating Augmented Reality Landmark Cues and Frame of Reference Displays with Virtual Reality,Screen-Fixed without-landmark (Purple arrow),https://doi.org/10.1109/TVCG.2023.3247078,Visual,,,Symbolic,Alphanumeric,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,Proximity,,,Go,,Single,Overlaid,Wayfinding,World-fixed without landmark cues resulted in better spatial learning compared to screen-fixed conditions.,"Pointing, Drawing, Questionnaire",Screen-fixed w/o landmark → Worst spatial learning performance. High pointing errors.,83,,,
,,Screen-fixed with-landmark (image),,Visual,,,Captured,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Other,Go,,Single,Overlaid,Wayfinding,"When landmarks were added, screen-fixed cues improved but did not outperform world-fixed cues.","Pointing, Drawing, Questionnaire",Screen-fixed w/ landmark → Landmarks improved performance but still not as effective as world-fixed.,83,,,
,,World-fixed without-landmark (Arrow),,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Go,,Single,Integrated,Wayfinding,"The world-fixed frame of reference was most effective when no landmark cues were present, showing the strongest response in pointing accuracy.","Pointing, Drawing, Questionnaire",World-fixed w/o landmark → Best spatial learning (lower pointing errors) when landmarks were absent.,83,This study with chatgpt literally made me say whoa because this is probably the most accuracte I've seen chatgpt report with the cues themselves,,
,,World-fixed with-landmark (Purple Circle),,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Go,,Single,Integrated,Wayfinding,"The world-fixed frame of reference was most effective when no landmark cues were present, showing the strongest response in pointing accuracy.","Pointing, Drawing, Questionnaire","World-fixed w/ landmark → Surprisingly did not improve performance significantly, possibly due to design issues with the landmark cues.",83,,,
33 - Jalynn,A User Study on Mixed Reality Remote Collaboration with Eye Gaze and Hand Gesture Sharing,Eye Gaze,http://dx.doi.org/10.1145/3313831.3376550,Visual,,,Symbolic,Characterized,,,3,eyecentric,Exocentric,,Persistent,Direction,Position,,,,Look,,Single,Integrated,Remote Collaboration,Eye Gaze + Hand Gesture (Combined Condition) had the strongest response.,"Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference",Helped with target identification but lacked precise orientation guidance. Improved spatial awareness but not interaction.,24,,,
,,Hand Gesture,,Visual,,,Replica,,,,3,Proprioceptive - Egocentric,,,Persistent,,Position,,,Other,Look,,Single,Integrated,Remote Collaboration,"It significantly improved task efficiency, co-presence, and spatial interaction compared to using gaze or gestures alone.","Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference","Allowed better interaction (position, orientation, movement) but lacked directional overview. Rated higher in usability.",24,,,
,,Head & Head Frustum,,Visual,,,Symbolic,Characterized,,,3,Headcentric - Egocentric,Exocentric,,Persistent,,Position,,,,Look,,Single,Integrated,Remote Collaboration,Users completed tasks 39% faster with combined cues than with verbal-only communication.,"Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference",N/A,24,,,
,,Pin Arrow,,Visual,,,Symbolic,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Look,,Single,Integrated,Remote Collaboration,"Combined cues provided a stronger sense of co-presence, making collaboration feel more natural.","Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference",N/A,24,,,
,,Picking Indicator,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,Position,,,,Manipulate,,Single,Integrated,Remote Collaboration,"Combined cues provided a stronger sense of co-presence, making collaboration feel more natural.","Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference",N/A,24,,,
,,Placing Indicator (w/ direction),,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,Direction,Position,,,,Manipulate,,Single,Integrated,Remote Collaboration,"Combined cues provided a stronger sense of co-presence, making collaboration feel more natural.","Task Completion Time, Social Presence, Spatial presence, Workload, System Usability Scale, & User Preference",N/A,24,,,
34 - Jalynn,3DGAM: Using 3D Gesture and CAD Models for Training on Mixed Reality Remote Collaboration,Virtual Replicas of Items: CAD Models,https://link.springer.com/article/10.1007/s11042-020-09731-7,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,,,,Manipulate,,Single,Integrated,Industrial Assembly Training,The study found that 3D Gesture (3DGAM) cues had the strongest response,"Performance Time, Error Rate, User Experience, Usability",- Provided clear spatial understanding of objects. - Helped participants see part relationships but lacked interactivity. - Less engaging than gestures.,28,,,
,,Hand Gesture,,Visual,,,Replica,,,,3,Proprioceptive - Egocentric,,,Persistent,,Position,,,,Manipulate,,Single,Integrated,Industrial Assembly Training,The study found that 3D Gesture (3DGAM) cues had the strongest response,"Performance Time, Error Rate, User Experience, Usability",- Improved user engagement and sense of collaboration. - Reduced miscommunication. - Allowed more flexibility in instruction delivery. - Some issues with grasping small objects.,28,,,
35 - Jalynn,Attention Funnel: Omnidirectional 3D Cursor for Mobile Augmented Reality Platforms,Attention Funnel,https://doi.org/10.1145/1124772.1124939,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Select,,Single,Integrated,"Mobile AR, Object Search, Training, Navigation",The Attention Funnel had the strongest response. It: Decreased search time by 22% (or 28% if subtracting reach time). Increased search consistency by 65% (compared to the other methods). Reduced mental workload by 18% (as measured by NASA Task Load Index).,"Search Time, Error Rate, Search Consistency, Mental Workload",- Fastest search time. - Most consistent search performance. - Lowest mental workload. - Users found it effective but had some issues with visual clutter.,14,,,
,,Visual Highlight,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,"Mobile AR, Object Search, Training, Navigation",The Attention Funnel had the strongest response. It: Decreased search time by 22% (or 28% if subtracting reach time). Increased search consistency by 65% (compared to the other methods). Reduced mental workload by 18% (as measured by NASA Task Load Index).,"Search Time, Error Rate, Search Consistency, Mental Workload",- Slower than the attention funnel but still effective. - Provided clear spatial information. - More familiar for users but lacked directionality.,14,,,
,,Verbal Instructions,,Auditory,,,Captured,,,,,Exocentric,,,Persistent,,,,,Other,Select,,Single,Integrated,"Mobile AR, Object Search, Training, Navigation",The Attention Funnel had the strongest response. It: Decreased search time by 22% (or 28% if subtracting reach time). Increased search consistency by 65% (compared to the other methods). Reduced mental workload by 18% (as measured by NASA Task Load Index).,"Search Time, Error Rate, Search Consistency, Mental Workload",- Least effective. - Slowest search time. - High mental workload. - Users had difficulty translating instructions into actions.,14,,,
36 - Jalynn,Augmented Reality as a Means of Conveying Picking Information in Kit Preparation for Mixed-Model Assembly,Virtual Tunnel,Integrated,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Select,,Single,Integrated,Manufacturing/assembly (guiding kit preparation),The Virtual Tunnel cue had the most significant impact on navigation efficiency.,Time Efficiency & Picking Accuracy,Virtual Tunnel improved movement efficiency.,5,,,
,,Number of Components,,Visual,,,Alphanumeric,,,,3,Exocentric,,,Persistent,,,,,Other,Select,,Single,Integrated,Manufacturing/assembly (guiding kit preparation),The Virtual Tunnel cue had the most significant impact on navigation efficiency.,Time Efficiency & Picking Accuracy,Number of Components ensured accuracy in picking.,5,,,
,,Graphical Representation of Bins,,Visual,,,Alphanumeric,Symbolic,,,2,Headcentric - Egocentric,,,Persistent,,Position,,,,Select,,Single,Overlaid,Manufacturing/assembly (guiding kit preparation),The Virtual Tunnel cue had the most significant impact on navigation efficiency.,Time Efficiency & Picking Accuracy,Graphical Representation of Bins aided spatial orientation.,5,,,
,,Current Pick Information,,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Other,Select,,Single,Overlaid,Manufacturing/assembly (guiding kit preparation),The Virtual Tunnel cue had the most significant impact on navigation efficiency.,Time Efficiency & Picking Accuracy,Current Pick Information reduced errors in item selection.,5,,,
38 - Jalynn,An Analsis of Language Impact on Augmented Reality Order Picking Training,German Textual Feedback,https://doi.org/10.1145/3197768.3201570,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Other,Select,,Single,Overlaid,Industrial Order Picking,"The AR Arrow Visualization led to the strongest response: Fastest task completion time (M = 3.31s, SD = 0.57s) Lowest perceived cognitive load (M = 19.13, SD = 10.01) No significant difference in error rate across conditions **Large effect size (η² = 0.455) for time and (η² = 0.486) for cognitive load)","Task Completion Time, Number of Errors, & Perceived Cognitive Load",Slower than AR but faster than Finnish text. Higher cognitive load due to need for reading. Language familiarity made no difference in performance.,15,,,
,,Foreign Textual Feedback,,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Other,Select,,Single,Overlaid,Industrial Order Picking,"The AR Arrow Visualization led to the strongest response: Fastest task completion time (M = 3.31s, SD = 0.57s) Lowest perceived cognitive load (M = 19.13, SD = 10.01) No significant difference in error rate across conditions **Large effect size (η² = 0.455) for time and (η² = 0.486) for cognitive load)","Task Completion Time, Number of Errors, & Perceived Cognitive Load",Similar performance to German text. No noticeable increase in difficulty despite being in an unknown language. Participants relied on numbers and locations rather than language.,15,,,
,,3D Arrow,,Visual,,,Symbolic,,,,3,Headcentric - Egocentric,,,Persistent,Direction,,,,,Select,,Single,Integrated,Industrial Order Picking,"The AR Arrow Visualization led to the strongest response: Fastest task completion time (M = 3.31s, SD = 0.57s) Lowest perceived cognitive load (M = 19.13, SD = 10.01) No significant difference in error rate across conditions **Large effect size (η² = 0.455) for time and (η² = 0.486) for cognitive load)","Task Completion Time, Number of Errors, & Perceived Cognitive Load","Fastest task completion. Lowest cognitive load. Highly intuitive; users could ""turn off their head"" and follow the cues. Some users reported discomfort with the HoloLens field of view. Users lost connection to the task, focusing only on arrows.",15,,,
,,Text Label (Number of Components),,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Other,Select,,Single,Overlaid,Industrial Order Picking,"The AR Arrow Visualization led to the strongest response: Fastest task completion time (M = 3.31s, SD = 0.57s) Lowest perceived cognitive load (M = 19.13, SD = 10.01) No significant difference in error rate across conditions **Large effect size (η² = 0.455) for time and (η² = 0.486) for cognitive load)","Task Completion Time, Number of Errors, & Perceived Cognitive Load","Useful for confirming quantity. Did not contribute to speed but reduced mental effort in checking items. No negative feedback from users, but impact on efficiency was neutral.",15,,,
,,Green Rectangle,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,Industrial Order Picking,"The AR Arrow Visualization led to the strongest response: Fastest task completion time (M = 3.31s, SD = 0.57s) Lowest perceived cognitive load (M = 19.13, SD = 10.01) No significant difference in error rate across conditions **Large effect size (η² = 0.455) for time and (η² = 0.486) for cognitive load)","Task Completion Time, Number of Errors, & Perceived Cognitive Load",Helped guide users visually to correct bin. Emphasized the correct picking location without need for text. Lower cognitive load than text-based instructions. Users still needed to check item count separately.,15,,,
39 - Jalynn,"AR-Glasses-Based Attention Guiding for Complex Environments Requirements, Classification, and Evaluation",Single X-Ray Highlight,https://doi.org/10.1145/3389189.3389198,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Discover,,Single,Integrated,"Order-picking, navigation","The MultiPath technique had the fastest task completion time, indicating the strongest response.","Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings",Efficient but required users to look around more. Did not support navigation beyond showing the target.,30,,,
,,Multi X-Ray Highlight,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Discover,,Single,Integrated,"Order-picking, navigation",The Multi X-Ray Highlight was also highly effective and slightly outperformed single-target techniques.,"Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings",Allowed users to plan their movements more effectively. Slightly improved performance compared to the X-Ray Highlight.,30,,,
,,3D Path,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,,,Other,Discover,,Single,Integrated,"Order-picking, navigation","The MultiPath technique had the fastest task completion time, indicating the strongest response.","Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings",Provided continuous guidance. Ensured minimal head movement. Was expected to be the best but was slightly slower than MultiPath.,30,,,
,,MultiPath,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,,,Other,Discover,,Single,Integrated,"Order-picking, navigation",The Multi X-Ray Highlight was also highly effective and slightly outperformed single-target techniques.,"Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings","Allowed multiple target awareness. Provided autonomy, which improved user experience. Led to the fastest performance.",30,,,
,,Arrow Path,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,,,Other,Discover,,Single,Integrated,"Order-picking, navigation","The MultiPath technique had the fastest task completion time, indicating the strongest response.","Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings",Required users to look down frequently. Led to higher head movement and longer task completion times.,30,,,
,,Minimap,,Visual,,,Symbolic,Characterized,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,,Position,Proximity,,,Discover,,Single,Overlaid,"Order-picking, navigation",The Multi X-Ray Highlight was also highly effective and slightly outperformed single-target techniques.,"Completion Time, Distance Walked, Angular Hear Movement, Head Pitch, Time Guidance, NASA-TLX, Subjective Ratings",Gave users full autonomy but had the longest task completion times. Was preferred by users familiar with video games.,30,,,
40 - Jalynn,Halo: A Technique for Visualizing Off-Screen Objects,Arrows,https://doi.org/10.1145/642611.642695,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,,,Persistent,Direction,,Proximity,,,Discover,,Single,Overlaid,"Spatial navigation, map-based tasks","Halo (Arcs) had the strongest response in terms of efficiency and accuracy for spatial cognition tasks, particularly in helping users understand off-screen locations.","Task Completion Time, Error Rate, User Preference, Distance Estimation Accuracy, & Traversal Efficiency","Users could read numeric distances directly, which some preferred. Required more mental math for interpreting spatial relationships. Performance was lower for distance-based tasks but had slightly better accuracy in location estimation.",12,,,
,,Halo,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Discover,,Single,Overlaid,"Spatial navigation, map-based tasks","Halo (Arcs) had the strongest response in terms of efficiency and accuracy for spatial cognition tasks, particularly in helping users understand off-screen locations.","Task Completion Time, Error Rate, User Preference, Distance Estimation Accuracy, & Traversal Efficiency",Reduced task completion time by 16-33% across different tasks. Provided better spatial awareness with lower cognitive load. Users found it easier to form a mental model of the off-screen locations.Errors increased at longer distances due to users underestimating distances.,12,,,
41 - Jalynn,Wedge: Clutter-Free Visualization of Off-Screen Locations,Wedge,https://doi.org/10.1145/1357054.1357179,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,,Proximity,,,Look,,Single,Overlaid,Small screen visualization for off-screen awareness,"The Wedge visualization led to significantly lower errors compared to Halo, especially in tasks requiring precise target localization. It performed particularly well in corner cases, where Halo suffered from clutter due to overlapping rings.","Error Amount, Completion Time, User Preference, Task Success Rate","More accurate than Halo, particularly for precise off-screen target localization. Avoids clutter by dynamically adjusting wedge orientation. Preferred for target discovery and location estimation. Slight disadvantage in tasks where relative distances between off-screen objects need to be judged.",18,,,
,,Halo,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Look,,Single,Overlaid,Small screen visualization for off-screen awareness,"The Wedge visualization led to significantly lower errors compared to Halo, especially in tasks requiring precise target localization. It performed particularly well in corner cases, where Halo suffered from clutter due to overlapping rings.","Error Amount, Completion Time, User Preference, Task Success Rate","Works best when distance differentiation is needed. Performance drops significantly when multiple off-screen targets cluster near the same location. Overlapping rings create clutter, making it difficult to distinguish targets.",18,,,
42 - Jalynn,HiveFive: Immersion Preserving Attention Guidance in Virtual Reality,Arrow,https://doi.org/10.1145/3313831.3376803,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,Virtual Reality attention guidance,HiveFive and Arrow were among the fastest-perceived cues.,"Time to First Fixation, Number of Perceived Stimuli, Object Selection Accuracy, Presence Rating, NASA-TLX, & Subjective Distraction Ratings","Arrow: Provided a clear directional cue, leading to fast and accurate target identification.",20,,,
,,Blurring,,Visual,,,Emphatic,,,,2,Exocentric,eyecentric,,Persistent,,Position,,,,Select,,Single,Overlaid,Virtual Reality attention guidance,DeadEye and Blurring had the slowest response times.,"Time to First Fixation, Number of Perceived Stimuli, Object Selection Accuracy, Presence Rating, NASA-TLX, & Subjective Distraction Ratings",Blurring: Reduced distractions by emphasizing important areas but could cause discomfort in some users.,20,,,
,,DeadEye,,Visual,,,Emphatic,,,,2,Exocentric,eyecentric,,Persistent,,Position,,,,Select,,Single,Overlaid,Virtual Reality attention guidance,DeadEye and Blurring had the slowest response times.,"Time to First Fixation, Number of Perceived Stimuli, Object Selection Accuracy, Presence Rating, NASA-TLX, & Subjective Distraction Ratings",DeadEye: Created a compelling visual effect that subtly guided attention but required adaptation due to its unusual monocular rendering.,20,,,
,,HiveFive,,Visual,,,Symbolic,Characterized,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,Virtual Reality attention guidance,HiveFive and Arrow were among the fastest-perceived cues.,"Time to First Fixation, Number of Perceived Stimuli, Object Selection Accuracy, Presence Rating, NASA-TLX, & Subjective Distraction Ratings","HiveFive: Effectively directed gaze through swarm-like movement, leveraging natural human tendencies to follow motion.",20,,,
,,Subtle Gaze Direction,,Visual,,,Emphatic,,,,2,Exocentric,eyecentric,,Persistent,,Position,,,,Select,,Single,Overlaid,Virtual Reality attention guidance,HiveFive and Arrow were among the fastest-perceived cues.,"Time to First Fixation, Number of Perceived Stimuli, Object Selection Accuracy, Presence Rating, NASA-TLX, & Subjective Distraction Ratings","Subtle Gaze Direction (SGD): Used subtle brightness changes to guide attention with minimal intrusion, making it an unobtrusive yet effective cue.",20,,,
43 - Jalynn,Affective Feedback in a Virtual Reality Based Intelligent Supermarket,Path Arrows,https://doi.org/10.1145/3123024.3124426,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,,,Other,Discover,,Single,Integrated,"Retail, Navigation Assistance","The navigation assistance cues (path arrows) elicited the strongest response, as measured through Electrodermal Activity (EDA).","Electrodermal Activity, Integrated Phasic Response, Number of Phasic Peaks, & IPR per Peak","Direct paths minimized stress, while winding paths caused technostress. Technostress was identified through heightened EDA responses in the WS condition. More significant phasic peaks were observed in winding path conditions.",7,,,
,,Destination Red Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Discover,,Single,Integrated,"Retail, Navigation Assistance","Wrong Service (WS) conditions (winding paths) induced significantly higher sympathetic nervous system activation, as seen in higher integrated phasic response (IPR) and more phasic EDA peaks.","Electrodermal Activity, Integrated Phasic Response, Number of Phasic Peaks, & IPR per Peak","Helped users build a mental model of the expected navigation. When the expected path was violated (winding paths instead of direct ones), it contributed to stress and frustration.",7,,,
44 - Jalynn,Navigating a Heavy Industry Environment Using Augment Reality - A Comparison of Two Indoor Navigation Designs,Destination Green Arrow,https://doi.org/10.1007/978-3-030-49698-2_1,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,Direction,,Proximity,,,Go,,Single,Integrated,Industrial navigation (Workplace support),The Destination Green Arrow resulted in a more efficient route (shorter path length).,"Path Length, Time to Complete Navigation, Ease of Use, Perceived Support, Task Completion, & User Feedback","The arrow provided directional assistance but lacked precision in showing the exact path. Some users misinterpreted the arrow's direction, especially in turns.",52,,,
,,Distance Path,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,,Position,Proximity,,Other,Go,,Single,Integrated,Industrial navigation (Workplace support),The Navigation Path (Distance Path) had the strongest response in terms of perceived support and user confidence.,"Path Length, Time to Complete Navigation, Ease of Use, Perceived Support, Task Completion, & User Feedback",Users felt more supported and confident following the path. The path design provided clearer navigation but resulted in longer travel distances compared to the arrow.,52,,,
,,Hazardous Area Red Box,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,Position,,,,Go,,Single,Integrated,Industrial navigation (Workplace support),The Hazardous Area Red Box was highly effective in conveying danger.,"Path Length, Time to Complete Navigation, Ease of Use, Perceived Support, Task Completion, & User Feedback","Helped participants avoid dangerous areas like hot steel plates. Users responded well to the color-coded warning, reinforcing situational awareness.",52,,,
,,Evacuation Notification,,Visual,,,Symbolic,Alphanumeric,,,2,Headcentric - Egocentric,,,Context,,,Proximity,,Other,Go,,Single,Overlaid,Industrial navigation (Workplace support),The Evacuation Notification was crucial in emergency scenarios.,"Path Length, Time to Complete Navigation, Ease of Use, Perceived Support, Task Completion, & User Feedback",Critical for guiding users to exits efficiently in emergency situations. Users felt more supported during evacuation when following the path-based navigation.,52,,,
45 - Jalynn,Non-Visual Cues for View Management in Narrow Field of View Augmented Reality Displays,Vibrotactile Cues,https://doi.org/10.1109/ISMAR.2019.000-3,Tactile,,,Symbolic,,,,,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Integrated,AR UI / Information Localization,Vibrotactile cues worked best for depth perception when used with pulsed vibration patterns.,"Directional Error, Absolute Error, Euclidean Distance, Completion Time, & User Preference Scores",Performed well for horizontal (longitudinal) feedback. Depth perception was better with pulse-based vibrations. Users struggled slightly with vertical accuracy using vibrations alone.,12,,,
,,Audio,,Auditory,,,Symbolic,,,,,Exocentric,Headcentric - Egocentric,,Persistent,,,Proximity,,,Select,,Single,Integrated,AR UI / Information Localization,Audio Cues performed best in latitude estimation (vertical direction) with 61% improved accuracy compared to Vibrotactile cues.,"Directional Error, Absolute Error, Euclidean Distance, Completion Time, & User Preference Scores",Most accurate for vertical (latitudinal) positioning. Improved search speed and reduced absolute error. Depth perception was best with a combination of volume & pitch.,12,,,
46 - Jalynn,Depth perception in shuffleboard: Depth cues effect on depth perception in virtual and augmented reality system,Points Depth Cues,https://doi.org/10.1002/jsid.840,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Virtual/Augmented Reality Depth Perception,Participants performed significantly better in depth-matching tasks when using Box Depth Cues.,Absolute Error & Completion Time,"Had limited impact on depth perception, possibly due to their isolated nature.",22,,,
,,Line Depth Cues,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Virtual/Augmented Reality Depth Perception,"Line Depth Cues had no significant effect, and Points Depth Cues were not effective in stereo conditions.",Absolute Error & Completion Time,Did not significantly improve performance and even misled participants in certain conditions.,22,,,
,,Box Depth Cues,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Virtual/Augmented Reality Depth Perception,Box Depth Cues had the strongest impact on depth perception in both VR and AR.,Absolute Error & Completion Time,"Provided the most accurate depth perception, emphasizing edges and object positioning.",22,,,
47 - Jalynn,Design and analysis of depth cues on depth perception in interactive mixed reality simulation systems,Depth Bar,https://doi.org/10.1002/jsid.1074,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,,Proximity,,,Operate,,Single,Integrated,MR Simulation,"Movable Silhouettes had the strongest response, showing the greatest improvement in depth perception accuracy. It had the highest error optimization rate (41.25%).","Depth Perception Error, Z1, Z2 Error Values, Rotation and Pitch Errors",Improved depth perception significantly but not as much as Movable Silhouettes.,25,,,
,,Location Ball,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,MR Simulation,"Movable Silhouettes had the strongest response, showing the greatest improvement in depth perception accuracy. It had the highest error optimization rate (41.25%).","Depth Perception Error, Z1, Z2 Error Values, Rotation and Pitch Errors",Helped with position alignment but had moderate improvement in depth perception.,25,,,
,,Fixed Window,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,MR Simulation,"Movable Silhouettes had the strongest response, showing the greatest improvement in depth perception accuracy. It had the highest error optimization rate (41.25%).","Depth Perception Error, Z1, Z2 Error Values, Rotation and Pitch Errors",Provided a static reference but had limited effect at longer distances.,25,,,
